month,hours,demand_gwh,generation_gwh,cost,ens_mwh
1,744,1792.4382867098748,1792.438286709888,37314849.968956366,0.0
2,672,1572.0007085327027,1572.000708532651,32943779.495143276,0.0
3,744,1649.9546677400588,1649.9546677401186,35133623.53195041,0.0
4,720,1491.486034969546,1491.4860349695996,32679265.840862107,0.0
5,744,1445.7402977650438,1445.7402977651254,32757418.141793728,0.0
6,720,1344.2238162529404,1344.2238162528963,31175513.693163767,0.0
7,744,1386.8045864552294,1386.8045864552153,32196463.523979224,0.0
8,744,1440.49980189675,1440.4998018967244,32710354.063915644,0.0
9,720,1484.583040874711,1484.5830408747968,32606741.74457484,0.0
10,744,1642.8598648942927,1642.8598648942555,35038018.56577241,0.0
11,720,1681.5102333094471,1681.5102333094276,35256379.77078153,0.0
12,744,1792.3986605994032,1792.398660599387,37316041.809827045,0.0
