month,hours,demand_gwh,generation_gwh,cost,ens_mwh,nuclear_gwh,coal_gwh,oil_steam_gwh,oil_ct_gwh,hydro_gwh
1,744,1792.4382867098748,1792.438286709888,37314849.968956366,0.0,595.1999999934769,706.4802223628733,219.94206436702336,47.61600000072596,223.1999999857883
2,672,1572.0007085327027,1572.000708532651,32943779.495143276,0.0,537.5999999921588,592.2247085435931,197.5680000125558,43.008000000864,201.59999998347914
3,744,1649.9546677400588,1649.9546677401186,35133623.53195041,0.0,593.7238403446827,566.6788274011268,218.73600000664013,47.616000000570565,223.19999998709812
4,720,1491.486034969546,1491.4860349695996,32679265.840862107,0.0,554.3432032094069,463.38283176942286,211.68000000412258,46.08000000051956,215.99999998612802
5,744,1445.7402977650438,1445.7402977651254,32757418.141793728,0.0,537.5020387063537,418.6862590720091,218.73600000366056,47.61600000047376,223.1999999826286
6,720,1344.2238162529404,1344.2238162528963,31175513.693163767,0.0,494.532715900591,375.93110036159004,211.6800000027971,46.080000000343645,215.99999998757465
7,744,1386.8045864552294,1386.8045864552153,32196463.523979224,0.0,509.6577044156422,387.5948820491716,218.73600000312223,47.616000000380076,223.19999998689923
8,744,1440.49980189675,1440.4998018967244,32710354.063915644,0.0,534.7275071081824,416.2202948012206,218.7360000036964,47.61600000047196,223.19999998315305
9,720,1484.583040874711,1484.5830408747968,32606741.74457484,0.0,551.7359086867924,459.08713219694107,211.68000000408418,46.08000000051293,215.99999998646626
10,744,1642.8598648942927,1642.8598648942555,35038018.56577241,0.0,593.0193932993337,560.2884716011359,218.73600000569442,47.61600000053586,223.1999999875555
11,720,1681.5102333094471,1681.5102333094276,35256379.77078153,0.0,575.9999999922677,631.7502333203469,211.6800000123888,46.08000000086598,215.99999998355813
12,744,1792.3986605994032,1792.398660599387,37316041.809827045,0.0,595.1999999944605,706.4037743953105,219.97888622128482,47.61600000065177,223.19999998767926
